10 100
2 1 87
5 6 61
5 10 72
3 9 88
1 8 65
2 4 76
5 3 75
7 8 77
1 8 76
8 6 5
10 7 16
3 5 33
9 2 54
1 8 92
10 8 97
5 6 93
8 2 23
5 1 19
5 9 26
8 10 27
6 8 74
9 4 87
6 4 81
4 2 51
7 2 38
8 10 13
3 10 26
1 9 100
10 1 51
6 5 76
6 5 72
4 6 23
5 4 17
8 4 92
2 5 89
4 9 79
8 9 57
8 5 65
9 5 58
1 6 15
3 1 22
10 1 68
8 6 62
3 8 63
3 7 68
1 9 14
1 7 69
7 3 26
3 8 29
4 1 68
3 6 96
10 6 77
7 6 68
4 9 20
4 9 29
7 2 41
10 6 14
9 8 62
2 6 87
10 7 21
6 7 18
7 8 54
9 8 80
4 8 48
1 9 96
8 7 95
4 1 32
3 4 27
10 9 34
5 7 28
4 3 97
10 1 96
2 1 37
3 8 92
1 9 11
7 9 91
9 6 19
7 10 3
5 6 3
2 8 49
5 6 76
5 2 14
4 2 17
8 4 77
2 10 20
4 8 15
9 10 63
7 10 73
2 10 80
10 1 56
4 10 33
8 9 91
4 6 64
3 6 7
6 10 99
7 2 43
10 4 68
2 9 82
6 9 9
9 7 37
